N,System Response Time (Client 1), System Cycle Time, System Throughput,
1,154.723214,161.723214,0.006183,
2,147.401095,154.401095,0.012953,
3,147.101913,154.101913,0.019468,
4,147.307182,154.307182,0.025922,
5,147.599070,154.599070,0.032342,
6,147.919207,154.919207,0.038730,
7,148.266382,155.266382,0.045084,
8,148.640340,155.640340,0.051401,
9,149.044396,156.044396,0.057676,
10,149.481419,156.481419,0.063905,
11,149.955295,156.955295,0.070084,
12,150.470129,157.470129,0.076205,
13,151.030767,158.030767,0.082262,
14,151.642591,158.642591,0.088249,
15,152.311783,159.311783,0.094155,
16,153.045307,160.045307,0.099972,
17,153.851083,160.851083,0.105688,
18,154.738050,161.738050,0.111291,
19,155.716319,162.716319,0.116768,
20,156.797253,163.797253,0.122102,
21,157.993599,164.993599,0.127278,
22,159.319561,166.319561,0.132275,
23,160.790869,167.790869,0.137075,
24,162.424782,169.424782,0.141656,
25,164.240040,171.240040,0.145994,
26,166.256702,173.256702,0.150066,
27,168.495880,175.495880,0.153850,
28,170.979298,177.979298,0.157322,
29,173.728697,180.728697,0.160462,
30,176.765022,183.765022,0.163252,
31,180.107442,187.107442,0.165680,
32,183.772188,190.772188,0.167739,
33,187.771314,194.771314,0.169429,
34,192.111447,199.111447,0.170759,
35,196.792692,203.792692,0.171743,
36,201.807837,208.807837,0.172407,
37,207.142008,214.142008,0.172783,
38,212.772890,219.772890,0.172906,
39,218.671577,225.671577,0.172818,
40,224.712858,231.712858,0.172627,
41,230.759917,237.759917,0.172443,
42,236.812695,243.812695,0.172263,
43,242.854262,249.854262,0.172100,
44,248.927462,255.927462,0.171924,
45,254.963040,261.963040,0.171780,
46,261.120431,268.120431,0.171565,
47,267.075020,274.075020,0.171486,
48,273.174823,280.174823,0.171322,
49,279.448894,286.448894,0.171060,
50,285.880294,292.880294,0.170718,
