1,154.723214,1,1,
2,147.401095,2,2,
3,147.101913,3,3,
4,147.307182,4,4,
5,147.599070,5,5,
6,147.919207,6,6,
7,148.266382,7,7,
8,148.640340,8,8,
9,149.044396,9,9,
10,149.481419,10,10,
11,149.955295,11,11,
12,150.470129,12,12,
13,151.030767,13,13,
14,151.642591,14,14,
15,152.311783,15,15,
16,153.045307,16,16,
17,153.851083,17,17,
18,154.738050,18,18,
19,155.716319,19,19,
20,156.797253,20,20,
21,157.993599,21,21,
22,159.319561,22,22,
23,160.790869,23,23,
24,162.424782,24,24,
25,164.240040,25,25,
26,166.256702,26,26,
27,168.495880,27,27,
28,170.979298,28,28,
29,173.728697,29,29,
30,176.765022,30,30,
31,180.107442,31,31,
32,183.772188,32,32,
33,187.771314,33,33,
34,192.111447,34,34,
35,196.792692,35,35,
36,201.807837,36,36,
37,207.142008,37,37,
38,212.772890,38,38,
39,218.671577,39,39,
40,224.712858,24,26,
41,230.759917,22,26,
42,236.812695,23,26,
43,242.854262,24,26,
44,248.927462,44,26,
45,254.963040,26,27,
46,261.120431,46,27,
47,267.075020,34,28,
48,273.174823,29,29,
49,279.448894,30,30,
50,285.880294,31,31,
